headline, anger, disgust, fear, joy, sadness, surprise
"Fitness: Bodies in Motion, Clean and Sober", 0, 0, 0, 64, 0, 0
"In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books", 0, 0, 0, 10, 0, 10
"Yankee Dies in Plane Crash, Official Says", 0, 0, 9, 0, 93, 0
"An Elephant Crackup?", 11, 0, 0, 14, 31, 0
"With YouTube, Grad Student Hits Jackpot Again", 0, 0, 0, 72, 0, 42
"Dow flirts with record highs again", 0, 0, 0, 67, 0, 51
"Tropical Storm Isaac forms in Atlantic", 0, 0, 86, 0, 10, 0
"New Iraq terror tape calls for abducting foreigners", 37, 35, 95, 0, 37, 0
"'Deep regret' for ex-HP exec", 0, 4, 0, 0, 40, 6
"'Opportunity' knocks on geologist's dream crater", 0, 0, 0, 13, 0, 3
"Squirrel jumps boy in park; rabies suspected", 28, 4, 61, 0, 28, 62
"Girl left comatose after dental visit dies", 39, 39, 62, 12, 66, 9
"Porn star candidate campaigns on campus", 31, 36, 0, 28, 33, 20
"School ends football season after 0-4 start", 0, 0, 0, 0, 5, 5
"Charlie Sheen to become highest-paid sitcom star", 3, 3, 0, 54, 0, 10
"Jon Stewart mocks benefits of CNN's I", 13, 13, 0, 0, 5, 21
"Ashton Kutcher tells secret to Ryan Seacrest", 0, 0, 0, 8, 0, 11
"Nails-on-chalkboard study earns Ig", 4, 20, 0, 3, 0, 10
"Gunman 'fine' before shooting", 6, 6, 6, 0, 22, 10
"Marijuana may stave off Alzheimer's", 0, 2, 0, 25, 0, 47
"Kentucky seeks alcohol huffing ban", 4, 4, 17, 32, 0, 25
"Toddler died from tainted spinach", 59, 26, 27, 0, 89, 22
"Judge dismisses Karr's porn case", 6, 6, 0, 3, 0, 13
"10 die in 22-hour Kashmir standoff", 50, 38, 62, 0, 54, 0
"Slain Amish girls laid to rest", 22, 7, 35, 0, 76, 0
"5,000 flee plant fire", 30, 0, 85, 0, 37, 0
"Cher auction fetches double pre-sale estimates", 0, 0, 0, 45, 0, 21
"Stars scuffle on 'Grey's Anatomy'", 15, 16, 0, 0, 0, 0
"Probe under way in Yankee crash", 2, 0, 14, 8, 55, 0
"Amish schoolhouse torn down", 29, 27, 37, 0, 73, 2
"Warner will not run in '08", 0, 0, 0, 0, 33, 3
"Reid land deal under scrutiny", 2, 0, 0, 0, 3, 5
"Flooding washes out road to Valdez, Alaska", 0, 0, 36, 0, 39, 10
"Briton admits U.S. bomb plot role", 23, 21, 28, 0, 33, 0
"Commentary: Minutemen have a right to be idiotic", 7, 0, 0, 2, 0, 0
"Madonna files adoption papers", 0, 0, 0, 30, 0, 16
"Gunmen kill 9 at Iraqi TV station", 28, 31, 69, 0, 58, 0
"Hastert sorry for scandal but not quitting", 4, 7, 0, 0, 27, 3
"Ex-JonBenet suspect: Child porn case dropped ", 5, 5, 0, 4, 0, 0
"Waste plant fire forces 5,000 to evacuate ", 26, 6, 30, 6, 66, 0
"Toddler died from E. coli tainted spinach ", 25, 26, 8, 0, 83, 0
"Disturbing finds in child sex raids ", 50, 59, 4, 0, 42, 0
"Magazine lists women who had abortions ", 40, 27, 0, 0, 33, 14
"Pot smokers may avoid Alzheimer's, study says ", 0, 0, 4, 10, 0, 66
"Student starts white men's club on campus ", 7, 29, 13, 0, 33, 19
"Kentucky wants to ban alcohol inhalers ", 0, 0, 8, 5, 0, 16
"Peter Pan flies into chapter two ", 0, 0, 0, 25, 0, 26
"Teen repellent inventor wins infamous prize ", 0, 20, 0, 41, 0, 17
"Cher's dress, car, bed have new owners", 0, 0, 0, 17, 0, 2
"Dow hits new record, eyes 12,000 ", 0, 0, 0, 49, 0, 0
"Ex-Virginia gov not running for president ", 0, 0, 0, 0, 0, 2
"Yankee pitcher's pilot log found ", 0, 0, 0, 0, 0, 9
"Dem leader's $1 million land deal under scrutiny ", 15, 10, 0, 6, 13, 11
"Dad locked up son, watched on TV, police say ", 4, 23, 0, 0, 28, 0
"Navarrette: Minutemen have a right to be idiotic ", 3, 0, 0, 6, 13, 5
"Pit bulls jump miniature pony, leave her bloody ", 4, 33, 26, 0, 37, 0
"Alaska town cut off from rest of state by flood ", 3, 0, 56, 0, 43, 0
"Trailblazing trio protects City by the Bay ", 0, 0, 0, 29, 0, 6
"Madonna files adoption papers in Malawi", 0, 0, 0, 44, 0, 17
"'Dr. McDreamy' choked in 'Grey's' scuffle ", 0, 0, 24, 0, 49, 20
"$10,000 poetry prize awarded ", 0, 0, 0, 86, 0, 11
"Las Vegas honour for tiger pair ", 0, 0, 0, 77, 0, 36
"UK characters boosting box office ", 0, 0, 0, 67, 0, 39
"Cher items snapped up at auction ", 0, 0, 0, 18, 0, 2
"Griffiths scorns Withnail 'play' ", 12, 35, 0, 4, 3, 0
"Lily Allen wins web music award ", 0, 0, 0, 93, 0, 17
"Costner appeals in casino wrangle", 55, 0, 0, 0, 15, 3
"Beyonce copyright claim rejected ", 10, 0, 0, 0, 0, 2
"Cohn gunman jailed for 36 years ", 13, 0, 10, 27, 21, 0
"Melua's deep sea gig sets record ", 0, 0, 0, 54, 0, 6
"Sri Lanka clashes kill 129 troops ", 21, 0, 26, 0, 75, 0
"Gunmen kill 11 in Iraq TV raid ", 50, 33, 43, 0, 76, 0
"Italy drops Sicily bridge plans ", 0, 0, 0, 0, 0, 45
"Amish killings school demolished ", 33, 33, 42, 0, 44, 33
"Pamuk wins Nobel Literature prize", 0, 0, 0, 89, 0, 10
"Madonna adoption bid approved ", 0, 0, 0, 48, 0, 29
"Man admits UK-US terror bomb plot", 33, 43, 61, 0, 33, 0
"Who are you calling fat?", 0, 16, 0, 0, 12, 0
